Classifier-1,Classifier-2,Classifier-3,Classifier-4,State,City,Car Brand,Car Brand Specific,Keyword,Keyword Intent,Position 1,Position 2,Position 3,Search Volume,Search Volume (Long Tail),CPC,Organic Search Share (OSS),Search Impression Shares (SIS),Search Click Distribution (SCD),SCD Adjusted SV,Clicks Per Search (CPS),SERP Features,Trend
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,cheap commercial auto insurance,Commercial,0.3,0.24,0.16,720,"2,160",$34.41,0.56,1.03,0.83,"1,034",1.46,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.67,0.82,0.82,0.67,0.67,0.82,0.67,0.82,1.00,1.00,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,Georgia,-,-,-,cheap health insurance ga,Commercial,0.29,0.2,0.09,720,"2,160",$7.25,0.87,1.4,0.84,"2,210",1.17,"Adwords top, Sitelinks, Featured snippet, People also ask","0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.55,0.67,1.00,1.00,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,Pennsylvania,-,-,-,cheap health insurance pa,Commercial,0.29,0.24,0.15,720,"2,160",$8.49,0.9,1.2,0.83,"1,936",1.29,"Adwords top, Featured snippet, People also ask, Sitelinks, Adwords bottom","0.59,0.72,0.59,0.59,0.59,0.72,0.72,0.59,0.72,1.00,0.88,0.72"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,-,-,-,-,cheap insurance companies near me,Informational,0.17,0.12,0.04,720,"2,160",$28.00,0.49,1.2,0.32,406,0.03,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.72,1.00,0.88,1.00,0.88,0.88,0.88,0.72,0.88,0.88,0.88,0.88"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Indiana,-,-,-,cheap insurance in nc,Commercial,0.32,0.23,0.18,720,"2,160",$37.06,0.62,1,0.34,455,0.03,-,"0.08,0.01,0.01,0.02,0.01,0.02,0.01,0.05,0.01,0.01,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Indiana,-,-,-,cheap insurance in ohio,Commercial,0.32,0.23,0.15,720,"2,160",$39.99,0.57,1.2,0.34,502,0.02,-,"0.08,0.01,0.03,0.03,0.01,0.02,0.01,0.16,0.13,0.24,1.00,0.02"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Indiana,-,-,-,cheap insurance in pa,Commercial,0.28,0.19,0.12,720,"2,160",$39.19,0.49,1.3,0.53,729,0.48,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom","0.88,0.72,0.88,1.00,1.00,0.88,0.59,1.00,1.00,0.88,0.72,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Indiana,-,-,-,cheap insurance in sc,Commercial,0.32,0.23,0.15,720,"2,160",$23.27,0.57,1.4,0.34,586,0.02,-,"1.00,1.00,1.00,0.82,1.00,1.00,0.82,1.00,1.00,0.82,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Nevada,Las Vegas,-,-,cheap insurance las vegas,Commercial,0.3,0.22,0.15,720,"2,160",$14.37,0.91,1.08,0.84,"1,783",1.08,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.88,0.72,0.72,0.88,0.88,1.00,0.72,0.72,0.88,0.72,0.59,0.72"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,cheap tooth extraction no insurance,Commercial,0.34,0.28,0.17,720,"2,160",$8.21,0.9,1.14,0.74,"1,640",0.86,"Featured snippet, People also ask","0.72,0.72,0.88,0.88,0.72,0.88,0.88,0.88,0.88,0.72,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,cheapest auto insurance okc,Commercial,0.26,0.19,0.11,720,"2,160",$38.66,0.69,1.2,0.34,608,0.06,"Sitelinks, People also ask, Videos, Image pack","1.00,0.82,0.82,0.82,0.82,0.82,1.00,0.82,1.00,0.67,0.54,0.67"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,Indiana,-,-,-,cheapest car insurance in illinois,Commercial,0.3,0.19,0.1,720,"2,160",$49.32,0.56,1.16,0.84,"1,179",1.09,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnails, Adwords bottom","0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.00,0.81,0.35,0.04"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,chiropractic insurance,Commercial,0.35,0.3,0.22,720,"2,160",$7.54,0.89,1.27,0.84,"2,051",1.37,"People also ask, Sitelinks","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,Ohio,Cincinnati,-,-,cincinnati auto insurance,Commercial,0.36,0.27,0.18,720,"2,160",$27.68,0.56,1.1,0.72,958,0.79,Sitelinks,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,1.00,0.81,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,classic car insurance companies,Commercial,0.31,0.23,0.12,720,"2,160",$19.75,0.68,1.16,0.84,"1,431",1.21,"Featured snippet, Thumbnails, People also ask, Sitelinks","0.67,0.44,0.55,1.00,1.00,0.55,0.55,1.00,0.82,0.55,0.44,0.82"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,classic insurance,Commercial,0.27,0.2,0.09,720,"2,160",$22.83,0.49,1,0.64,677,0.68,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.88,1.00,0.88,0.88,0.88,0.88,0.88,0.72,0.72,0.72,0.72,0.88"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,cobra health insurance cost,Commercial,0.32,0.26,0.16,720,"2,160",$4.55,0.88,1.11,0.73,"1,540",0.8,"Featured snippet, Thumbnails, People also ask","0.67,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Colorado,-,-,-,colorado unemployment insurance,Commercial,0.35,0.27,0.2,720,"2,160",$0.45,0.89,1.14,0.82,"1,797",1.08,"Sitelinks, People also ask","0.67,0.67,0.82,0.55,0.55,0.67,0.55,0.55,0.67,0.67,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,commercial health insurance,Commercial,0.31,0.23,0.17,720,"2,160",$7.65,0.78,1.13,0.62,"1,180",0.6,"Featured snippet, Thumbnails, People also ask","1.00,1.00,1.00,1.00,0.72,0.88,0.88,0.88,0.88,0.88,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Business Insurance,Commercial Insurance,-,-,-,-,commercial prescription drug insurance,Commercial,0.34,0.23,0.18,720,"2,160",$2.16,0.91,1.02,0.54,"1,083",0.45,"Featured snippet, People also ask","0.48,0.48,0.39,0.88,0.72,0.72,0.59,0.59,0.72,0.88,1.00,0.88"
Finance & Insurance Industry,Insurance Services,Business Insurance,Business (Owners) Insurance,-,-,-,-,company insurance,Commercial,0.33,0.23,0.15,720,"2,160",$35.95,0.48,1.16,0.64,770,0.65,"Sitelinks, People also ask","1.00,1.00,1.00,1.00,0.88,1.00,1.00,0.88,1.00,0.88,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,compare auto insurance quotes online,Commercial,0.3,0.25,0.15,720,"2,160",$53.21,0.55,1,0.82,974,1.05,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.67,0.67,0.54,0.54,0.54,0.54,0.36,0.36,1.00,1.00,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,compare auto insurance quotes side by side,Commercial,0.31,0.21,0.13,720,"2,160",$47.09,0.58,1.21,0.72,"1,091",0.87,"Sitelinks, People also ask, Image pack","0.67,0.82,0.67,0.82,0.82,0.67,1.00,0.82,0.82,0.82,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,compare dental insurance,Commercial,0.34,0.27,0.19,720,"2,160",$4.29,0.9,1.28,0.84,"2,090",1.37,"Sitelinks, People also ask","0.82,1.00,0.67,0.67,0.55,0.82,0.67,0.55,0.82,0.67,0.67,0.67"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,compare life insurance quotes,Commercial,0.31,0.26,0.15,720,"2,160",$44.47,0.64,1.2,0.83,"1,377",1.53,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom","1.00,0.66,0.66,0.66,0.54,0.66,0.54,0.54,0.81,1.00,0.66,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,comprehensive and collision,Commercial,0.27,0.21,0.15,720,"2,160",$23.39,0.58,1.14,0.54,771,0.49,"Featured snippet, Thumbnails, People also ask, Sitelinks","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,comprehensive vs collision insurance,Commercial,0.31,0.22,0.11,720,"2,160",$31.71,0.58,1.4,0.53,930,0.35,"Featured snippet, Thumbnails, People also ask","0.48,0.59,0.59,0.59,0.59,0.59,0.72,0.59,0.72,0.59,0.72,1.00"
Finance & Insurance Industry,Insurance Services,Home Insurance,Homeowners (Home & House) Insurance,-,-,-,-,condo homeowners insurance,Commercial,0.27,0.17,0.07,720,"2,160",$21.50,0.59,1.2,0.63,963,0.73,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,1.00,1.00,1.00,0.82,1.00,0.82,0.82,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,Connecticut,-,-,-,connecticut general life insurance company,Commercial,0.29,0.22,0.17,720,"2,160",$10.70,0.75,1.2,0.62,"1,205",0.57,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.72,0.88,0.88,0.72,0.72,0.72,0.88,0.88,0.88,0.72,0.72,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,cost of adderall without insurance,Commercial,0.34,0.26,0.15,720,"2,160",$2.19,0.81,1.2,0.63,"1,323",0.7,-,"1.00,1.00,1.00,0.82,1.00,1.00,1.00,0.82,0.82,0.82,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,cost of braces without insurance,Commercial,0.33,0.25,0.2,720,"2,160",$6.48,0.89,1.3,0.33,825,0.04,-,"0.08,0.04,0.04,0.04,0.15,0.04,0.12,0.35,0.04,1.00,0.42,0.04"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,cost of insurance,Commercial,0.33,0.24,0.16,720,"2,160",$21.43,0.57,1.09,0.64,859,0.49,"Adwords top, Sitelinks, People also ask","0.08,0.06,0.03,0.02,0.05,0.13,0.13,0.30,0.82,1.00,0.82,0.10"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Mortgage Insurance,-,-,-,-,cost of mortgage insurance,Commercial,0.33,0.23,0.14,720,"2,160",$2.60,0.84,1.18,0.64,"1,370",0.68,-,"0.08,0.27,0.04,0.04,0.04,0.12,0.08,0.04,0.65,1.00,0.04,0.04"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,critical illness,Informational,0.18,0.07,0.01,720,"2,160",$3.85,0.76,1.11,0.63,"1,148",0.48,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask","0.42,0.42,0.42,0.42,0.37,0.54,0.42,0.42,0.79,1.00,0.42,0.42"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Connecticut,-,-,-,ct state insurance,Commercial,0.34,0.26,0.2,720,"2,160",$2.17,0.69,1.16,0.74,"1,279",0.82,"Sitelinks, People also ask","0.67,0.82,0.82,0.82,0.82,1.00,1.00,0.82,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,daycare insurance,Commercial,0.3,0.19,0.12,720,"2,160",$17.14,0.76,1.2,0.83,"1,635",1.11,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,death insurance,Commercial,0.3,0.19,0.13,720,"2,160",$9.09,0.78,1.14,0.54,"1,037",0.45,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnails, Adwords bottom","0.68,0.77,0.68,0.68,0.68,0.68,0.77,0.68,0.77,0.77,0.68,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,dental costs without insurance,Commercial,0.34,0.23,0.13,720,"2,160",$5.90,0.79,1.32,0.72,"1,622",0.84,"Featured snippet, People also ask","0.68,0.68,0.68,0.77,1.00,0.68,0.68,0.68,0.68,0.68,0.68,0.77"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,Connecticut,-,-,-,dental insurance ct,Commercial,0.3,0.21,0.14,720,"2,160",$4.57,0.69,1.03,0.84,"1,289",1.49,"Adwords top, Sitelinks, Featured snippet, Adwords bottom","0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,dental insurance for seniors on medicare,Commercial,0.31,0.21,0.16,720,"2,160",$11.86,0.76,1.1,0.84,"1,517",1,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom","0.82,1.00,0.82,0.67,0.82,0.82,0.82,0.82,1.00,0.82,0.67,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,Indiana,-,-,-,dental insurance indiana,Commercial,0.34,0.28,0.18,720,"2,160",$4.59,0.71,1.1,0.83,"1,400",1.39,"Featured snippet, Sitelinks, People also ask","0.82,0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,Louisiana,-,-,-,dental insurance louisiana,Commercial,0.3,0.22,0.15,720,"2,160",$4.09,0.76,1.08,0.83,"1,472",1.25,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom","1.00,0.82,0.82,0.67,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,Maryland,-,-,-,dental insurance maryland,Commercial,0.29,0.18,0.13,720,"2,160",$5.32,0.82,1.02,0.84,"1,518",1.67,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom","0.67,0.82,0.82,0.82,0.67,0.55,0.67,0.67,0.67,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,Oklahoma,-,-,-,dental insurance oklahoma,Commercial,0.27,0.16,0.1,720,"2,160",$4.17,0.68,1.07,0.42,660,1.71,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom","0.88,0.88,0.72,0.72,0.72,0.88,0.88,0.88,0.88,0.88,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,dental insurance orthodontics,Commercial,0.35,0.3,0.24,720,"2,160",$5.51,0.78,1,0.84,"1,415",1.29,People also ask,"0.67,0.67,0.67,0.67,0.67,0.67,0.82,0.82,1.00,1.00,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,Utah,-,-,-,dental insurance utah,Commercial,0.3,0.19,0.13,720,"2,160",$4.71,0.78,1.23,0.84,"1,741",1.57,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask, Adwords bottom","1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,dentist without insurance near me,Commercial,0.3,0.22,0.12,720,"2,160",$8.20,0.79,1.4,0.72,"1,720",0.96,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.48,0.59,0.72,0.72,0.72,0.88,0.72,1.00,0.72,0.59,0.59,0.88"
Finance & Insurance Industry,Insurance Services,Other Types of Insurance,Jewelry Insurance,-,-,-,-,diamond ring insurance,Commercial,0.31,0.23,0.12,720,"2,160",$3.96,0.91,1.14,0.84,"1,882",1.07,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,1.00,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Disability Insurance,-,-,-,-,disability income insurance,Commercial,0.34,0.23,0.16,720,"2,160",$30.32,0.68,1.35,0.72,"1,428",0.8,"Adwords top, Sitelinks, People also ask","0.67,0.82,1.00,0.82,0.67,0.67,0.82,0.82,0.82,1.00,0.82,0.82"
Finance & Insurance Industry,Insurance Services,Health Insurance,Disability Insurance,-,-,-,-,disability insurance for self employed,Commercial,0.3,0.19,0.12,720,"2,160",$15.70,0.79,1.33,0.83,"1,884",1.1,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnails, Adwords bottom","0.88,1.00,0.88,0.88,0.72,0.72,0.88,0.88,0.88,0.88,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,do you have to pay taxes on life insurance,Commercial,0.32,0.26,0.19,720,"2,160",$4.38,0.69,1.15,0.54,926,0.46,"Featured snippet, People also ask","0.81,0.63,0.63,0.55,0.55,0.63,0.63,0.55,0.63,0.55,0.63,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,does car insurance cover theft,Commercial,0.3,0.23,0.13,720,"2,160",$38.63,0.57,1.13,0.52,723,0.45,"Featured snippet, Thumbnails, People also ask","0.63,0.63,0.81,0.63,0.81,0.81,1.00,0.81,0.81,0.81,1.00,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,does car insurance cover vandalism,Commercial,0.28,0.23,0.16,720,"2,160",$32.81,0.57,1.4,0.33,569,0.05,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask","0.35,0.81,0.67,0.81,0.81,1.00,0.67,0.67,0.54,0.67,0.54,0.67"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,does dental insurance cover braces,Informational,0.21,0.14,0.08,720,"2,160",$7.26,0.71,1,0.62,951,0.6,"Featured snippet, Thumbnails, People also ask","0.68,0.68,0.68,0.77,0.77,0.77,0.77,0.77,1.00,1.00,0.77,1.00"
Finance & Insurance Industry,Insurance Services,Home Insurance,Homeowners (Home & House) Insurance,-,-,-,-,does homeowners insurance cover roof leaks,Commercial,0.3,0.25,0.17,720,"2,160",$10.26,0.77,1.37,0.62,"1,413",0.53,"Featured snippet, Thumbnails, People also ask, Sitelinks, Top stories","1.00,0.53,0.46,0.38,0.46,0.46,0.38,0.31,0.53,0.53,0.68,0.53"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,does insurance cover chiropractic,Commercial,0.32,0.23,0.12,720,"2,160",$8.44,0.82,1.24,0.54,"1,186",0.45,"Featured snippet, People also ask","0.81,1.00,1.00,0.63,0.63,1.00,1.00,0.55,0.63,0.81,0.81,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,does insurance cover std testing,Informational,0.18,0.12,0.05,720,"2,160",$5.30,0.7,1.29,0.63,"1,229",0.75,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom","0.72,0.72,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,does insurance cover teeth whitening,Commercial,0.3,0.23,0.12,720,"2,160",$6.79,0.78,1.45,0.52,"1,270",0.41,"Featured snippet, Thumbnails, People also ask","0.82,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.67,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,does insurance cover veneers,Commercial,0.29,0.19,0.14,720,"2,160",$8.96,0.78,1.3,0.64,"1,402",0.5,"Featured snippet, Thumbnails, People also ask, Top stories","1.00,0.88,0.72,0.72,0.59,0.72,0.72,0.59,0.72,0.72,0.59,0.88"
Finance & Insurance Industry,Insurance Services,Home Insurance,Renters Insurance,-,-,-,-,does renters insurance cover theft,Commercial,0.3,0.23,0.13,720,"2,160",$15.50,0.76,1.16,0.54,"1,028",0.45,"Adwords top, Featured snippet, People also ask","0.68,0.68,0.68,0.77,0.77,1.00,1.00,0.77,0.77,0.68,1.00,0.77"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,dog life insurance,Commercial,0.35,0.29,0.22,720,"2,160",$7.16,0.78,1.1,0.74,"1,371",0.87,People also ask,"0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.72,0.72,0.88,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,domestic partner insurance,Commercial,0.29,0.23,0.14,720,"2,160",$1.88,0.79,1.09,0.64,"1,190",0.55,"Featured snippet, Thumbnails, People also ask","0.45,0.55,0.45,0.45,0.45,0.45,0.45,0.45,0.81,1.00,0.55,0.63"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,early retirement health insurance,Commercial,0.32,0.25,0.19,720,"2,160",$7.84,0.76,1.12,0.83,"1,526",1.49,"People also ask, Top stories, Thumbnails","0.55,0.77,0.77,0.68,0.68,0.77,0.68,0.68,0.77,0.77,0.68,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,employer sponsored health insurance,Informational,0.18,0.08,-0.03,720,"2,160",$14.25,0.91,1.17,0.62,"1,426",0.72,"Adwords top, Sitelinks, Featured snippet, Thumbnails, People also ask","1.00,0.88,0.88,0.59,0.48,0.59,0.59,0.72,0.88,0.88,0.72,1.00"
Finance & Insurance Industry,Insurance Services,Business Insurance,Business (Owners) Insurance,-,-,-,-,employers preferred insurance company,Commercial,0.36,0.31,0.22,720,"2,160",$24.60,0.5,1.38,0.72,"1,073",0.93,Sitelinks,"0.82,0.82,0.82,1.00,0.82,1.00,0.82,0.82,1.00,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Business Insurance,Business (Owners) Insurance,-,-,-,-,error and omission insurance,Commercial,0.32,0.24,0.19,720,"2,160",$35.38,0.55,1.11,0.74,976,0.83,"Featured snippet, Thumbnails, People also ask","0.08,0.42,1.00,0.42,0.04,0.19,0.04,0.19,0.08,0.12,0.42,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Vision Insurance,-,-,-,-,eyeglass insurance,Commercial,0.27,0.19,0.08,720,"2,160",$5.84,0.76,1.14,0.62,"1,160",0.77,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.72,0.88,0.72,0.72,0.72,0.72,0.88,0.72,0.88,0.72,0.88,1.00"
Finance & Insurance Industry,Insurance Services,Health Insurance,Dental Insurance,-,-,-,-,family dental insurance,Commercial,0.29,0.19,0.11,720,"2,160",$4.89,0.68,1,0.84,"1,234",1.25,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.82,0.82,0.82,0.82,0.55,0.67,0.67,0.55,0.67,0.67,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,family life insurance company,Commercial,0.3,0.25,0.15,720,"2,160",$22.87,0.49,1.02,0.72,777,0.87,"Adwords top, Sitelinks, Top stories, Thumbnails, Adwords bottom","0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Life Insurance,Life Insurance,-,-,-,-,fast life insurance,Commercial,0.27,0.22,0.13,720,"2,160",$15.79,0.78,1.14,0.53,"1,018",0.43,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.65,0.65,0.65,0.41,0.53,0.82,0.53,0.53,0.53,0.65,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,fha mortgage insurance premium,Commercial,0.34,0.27,0.22,720,"2,160",$12.15,0.67,1.37,0.74,"1,467",0.94,"Featured snippet, Thumbnails, Top stories","0.67,1.00,0.82,0.82,0.82,1.00,1.00,1.00,1.00,0.67,0.82,1.00"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,filing an insurance claim,Informational,0.22,0.13,0.07,720,"2,160",$7.61,0.8,1.2,0.63,"1,306",0.51,"Featured snippet, Thumbnails, People also ask","0.88,0.88,0.88,0.88,0.88,1.00,0.88,0.88,0.88,0.88,0.88,0.88"
Finance & Insurance Industry,Insurance Services,Health Insurance,Health Insurance,-,-,-,-,fine for no health insurance 2019,Commercial,0.31,0.25,0.17,720,"2,160",$4.71,0.92,1.21,0.53,"1,274",0.43,"Featured snippet, Thumbnails, People also ask","0.65,0.54,1.00,0.04,0.04,0.42,0.04,0.04,0.04,0.04,0.04,0.04"
Finance & Insurance Industry,Insurance Services,Insurance,-,-,-,-,-,fine for not having insurance,Commercial,0.29,0.24,0.15,720,"2,160",$1.75,0.79,1.32,0.63,"1,419",0.59,"Featured snippet, Thumbnails, People also ask","1.00,0.59,0.21,0.17,0.21,0.26,0.39,0.32,0.21,0.26,0.48,0.59"
Finance & Insurance Industry,Insurance Services,Home Insurance,Flood Insurance,-,-,-,-,flood insurance calculator,Commercial,0.31,0.25,0.2,720,"2,160",$5.95,0.77,1.84,0.84,"2,571",1.63,"Adwords top, Sitelinks, People also ask, Adwords bottom","0.67,0.81,1.00,0.81,0.81,0.67,0.67,0.54,0.54,0.44,0.44,0.81"
Finance & Insurance Industry,Insurance Services,Home Insurance,Flood Insurance,-,-,-,-,flood insurance coverage,Commercial,0.32,0.25,0.19,720,"2,160",$6.39,0.78,1.28,0.83,"1,790",1.26,"Featured snippet, Thumbnails, People also ask","0.54,1.00,0.67,0.82,0.67,0.67,0.44,0.67,0.54,0.36,0.44,0.54"
Finance & Insurance Industry,Insurance Services,Insurance,Insurance - State Generalized,Florida,-,-,-,florida insurance specialists,Commercial,0.32,0.26,0.17,720,"2,160",$14.28,0.76,1.24,0.64,"1,303",0.79,"Adwords top, Sitelinks, Image pack","0.48,0.59,0.72,0.59,0.59,0.59,0.72,0.59,1.00,0.59,0.59,0.72"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,Florida,-,-,-,florida title insurance calculator,Commercial,0.35,0.24,0.17,720,"2,160",$4.97,0.78,1.14,0.83,"1,594",1.26,People also ask,"0.68,0.77,0.77,0.77,0.68,0.68,0.77,0.68,0.77,0.68,0.68,1.00"
Finance & Insurance Industry,Insurance Services,Auto Insurance,Car (Auto) Insurance,-,-,-,-,full coverage car insurance cost,Commercial,0.3,0.22,0.14,720,"2,160",$59.33,0.58,1.2,0.74,"1,112",0.81,"Adwords top, Sitelinks, Featured snippet, People also ask, Videos, Adwords bottom","0.54,0.82,0.67,1.00,0.82,0.82,0.54,0.54,0.36,0.44,0.54,0.82"
